popid,mat,cat,delist1,delist2,delist3,status,delist_class,popsize,TPP,priority,FCRPS_BiOp_RPA 35_Imp_2008 ,FCRPS_BiOp_RPA 35_Imp_2013 
1,,,1800,1800,1800,Extant,Primary,,High+,4,None,None
3,,,,,,Extant, , , ,4,None,None
4,,,1551,1551,1551,Extant,Contributing,,Moderate,4,None,None
5,,,1277,1277,1277,Extant,Primary,,High,4,None,None
6,,,900,900,900,Extant,Primary,,High+,4,None,None
7,,,1500,1500,1500,Extant,Primary,,High,4,None,None
8,,,1000,1000,1000,Extant,Contributing,,Moderate+,4,None,None
9,,,1245,1245,1245,Extant,Primary,,High,2,None,None
10,,,1493,1493,1493,Extant,Primary,,Very High,2,None,None
11,,,500,500,500,Extant,Contributing,,Moderate,4,None,None
12,,,300,300,300,Extant,Contributing,,Low,4,None,None
13,,,7300,7300,7300,Extant,Primary,,Very High,4,None,None
14,,,1500,1500,1500,Extant,Primary,,High+,4,None,None
15,,,3000,3000,3000,Extant,Contributing,,Moderate+,4,None,None
16,,,1200,1200,1200,Extant,Contributing,,Moderate,4,None,None
17,,,900,900,900,Extant,Primary,,High,4,None,None
18,,,1500,1500,1500,Extant,Primary,,High,4,None,None
20,,,3561,3561,3561,Extant,Primary,,Very High,4,None,None
21,,,1031,1031,1031,Extant,Contributing,,Moderate,4,None,None
22,,,,,,Extant,,,,4,None,None
23,,,1222,1222,1222,Extant,Primary,,High,4,None,None
24,,,100,100,100,Extant,Stabilizing,,Very Low,4,None,None
25,,,4000,4000,4000,Extant,Primary,,High+,4,None,None
26,,,1100,1100,1100,Extant,Contributing,,Moderate,4,None,None
27,,,,,0,Extant,Stabilizing,,Very Low,4,None,None
28,,,1800,1800,1800,Extant,Primary,,High+,4,None,None
29,,,1200,1200,1200,Extant,Contributing,,Moderate,4,None,None
30,,,1200,1200,1200,Extant,Primary,,High+,4,None,None
31,,,500,500,500,Extant,Contributing,,Moderate,4,None,None
32,,,500,500,500,Extant,Contributing,,Low+,4,None,None
33,,,505,505,505,Extant,Stabilizing,,Low,4,None,None
56,3000,900,3000,3000,3000,Extant,Viable,Small,,2,None,None
57,500,150,500,500,500,Functionally Extirpated,Reintroduce,Basic,,3,None Extirpated,None Extirpated
58,750,225,750,750,750,Extant,Viable,Intermediate,,2,None,None
59,1000,300,1000,1000,1000,Extant,Viable,Large,,2,1*,0.06
60,500,150,500,500,500,Functionally Extirpated,None,Basic,,3,None Extirpated,None Extirpated
61,500,150,250,250,250,Extant,Maintained,Basic,,3,None,None
62,750,225,750,750,750,Extant,Viable,Intermediate,,1,23,18
63,500,150,500,500,500,Extant,Viable,Basic,,3,None,None
64,1000,300,1000,1000,1000,Extant,Viable,Large,,2,1*,(+1)
65,1000,300,400,300,250,Extant,Maintained,Large,,2,None,None
66,1000,300,400,300,250,Extant,Maintained,Large,,1,23,19
67,750,225,750,750,750,Extant,Viable,Intermediate,,2,1*,0
68,,,,,,Functionally Extirpated,,,,3,None Extirpated,None Extirpated
69,,,,,,Functionally Extirpated,,,,3,None Extirpated,None Extirpated
70,2000,600,2000,2000,2000,Extant,Viable,Very Large,,2,7*,(+21)
71,500,150,425,425,250,Extant,Maintained,Basic,,3,None,None
72,,,,,,Functionally Extirpated,,,,3,None Extirpated,None Extirpated
73,,,,,,Functionally Extirpated,,,,3,None Extirpated,None Extirpated
