"NMFS_POPID","BROOD_YEAR","COMMON_POPULATION_NAME","AGE_MATCH","IMPUTED_FRACWILD","IMPUTED_AGE"
6,1964,"Coweeman River",21,0,0
6,1965,"Coweeman River",24,0,0
6,1966,"Coweeman River",28,0,0
6,1967,"Coweeman River",32,0,0
6,1968,"Coweeman River",35,0,0
6,1969,"Coweeman River",38,0,0
6,1970,"Coweeman River",40,0,0
6,1971,"Coweeman River",45,0,0
6,1972,"Coweeman River",48,0,0
6,1973,"Coweeman River",53,0,0
6,1974,"Coweeman River",58,0,0
6,1975,"Coweeman River",63,0,0
6,1976,"Coweeman River",70,0,0
6,1977,"Coweeman River",0,0,0
6,1978,"Coweeman River",0,0,0
6,1979,"Coweeman River",0,0,0
6,1980,"Coweeman River",0,0,0
6,1981,"Coweeman River",0,0,0
6,1982,"Coweeman River",0,0,0
6,1983,"Coweeman River",0,0,0
6,1984,"Coweeman River",0,0,0
6,1985,"Coweeman River",0,0,0
6,1986,"Coweeman River",0,0,0
6,1987,"Coweeman River",0,0,0
6,1988,"Coweeman River",0,0,0
6,1989,"Coweeman River",0,0,0
6,1990,"Coweeman River",0,0,0
6,1991,"Coweeman River",0,0,0
6,1992,"Coweeman River",0,0,0
6,1993,"Coweeman River",0,0,0
6,1994,"Coweeman River",0,0,0
6,1995,"Coweeman River",0,0,0
6,1996,"Coweeman River",0,0,0
6,1997,"Coweeman River",0,0,0
6,1998,"Coweeman River",0,0,0
6,1999,"Coweeman River",0,0,0
6,2000,"Coweeman River",0,0,0
6,2001,"Coweeman River",0,0,0
6,2002,"Coweeman River",0,0,0
6,2003,"Coweeman River",0,0,0
6,2004,"Coweeman River",0,0,0
6,2005,"Coweeman River",0,0,0
6,2006,"Coweeman River",0,0,0
6,2007,"Coweeman River",0,0,0
6,2008,"Coweeman River",0,0,0
6,2009,"Coweeman River",0,0,0
6,2010,"Coweeman River",0,0,0
6,2011,"Coweeman River",0,0,0
6,2012,"Coweeman River",0,0,0
6,2013,"Coweeman River",0,0,0
6,2014,"Coweeman River",0,0,0
7,1964,"Elochoman River",21,0,0
7,1965,"Elochoman River",24,0,0
7,1966,"Elochoman River",28,0,0
