Common Population Name,NWR Population Name,Recovery Domain,Major Population Group,ESU,Species,Run,Stream,Start Year,End Year,Year,Spawners,FracWild,Effective Catch,Age 1 Returns,Age 2 Returns,Age 3 Returns,Age 4 Returns,Age 5 Returns,Age 6 Returns,Age 7 Returns,Regime,Total Spawners inc. Jacks,Natural Spawners inc Jacks,Natural Adult Annual Run 4-6,Jack frac of hatchery spawners,Adult Natural Harvest Rates,Natural Origin Brood Stk,Adult Brood Rtrns,Sar Adj Adult Brood Rtrns,Ln/ R/s,Adjusted Ln/Rs,Age 1 Harvest,Age 2 Harvest,Age 3 Harvest,Age 4 Harvest,Age 5 Harvest,Age 6 Harvest,Age 7 Harvest
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1957,2004,1,3151,,,0.04,0.37,0.6,0,,,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1958,1270,1,3672,,,0.04,0.37,0.6,0,,,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1959,1588,1,3407,,,0.04,0.37,0.6,0,,,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1960,1385,1,3156,-99,-99,0.07,0.67,0.26,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1961,2376,1,3100,-99,-99,0.05,0.42,0.53,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1962,1721,1,3798,-99,-99,0.03,0.47,0.51,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1963,2106,1,4984,-99,-99,0.03,0.29,0.67,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1964,1893,1,2956,-99,-99,0.04,0.43,0.53,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1965,953,1,1573,-99,-99,0.08,0.41,0.51,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Interior Columbia,Middle Fork Salmon River,Snake River Spring/Summer-run Chinook Salmon ESU,Chinook,Spring/Summer-run,Bear Valley Creek,1960,2004,1966,2002,1,1862,-99,-99,0.03,0.41,0.56,0,-99,-99,,,,,,,,,,,-99,-99,-99,-99,-99,-99,-99
