NMFS_POPID,RECOVERY_DOMAIN,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_Population_name,Population_RunTime,SPECIES,RUN_TIMING,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME,AGE_NOTES,ABUND_COUNT_EXTERNAL_FILE_1_LI,ABUND_COUNT_EXTERNAL_FILE_2_LI,POPULATION_DB_ID,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,LINK_REFERENCE_S,ADJUSTED_LINK_REFERENCE_S,ATTRIBUTE_SCOPE_TYPE,INCLUDE_AGE2,HATCHERY_RETURN,HATCHERY_RETURN_NOR,NUMBER_USED_FOR_BROODSTOCK,FRACTION_BROODSTOCK_TAKEN_NOR,AGE_DATA_TYPE,AGE_DETERMINATION_SAMPLE_SIZE,AEQ_CATCH_AGE2_OCEAN,CO2_DATA_TYPE,AEQ_CATCH_AGE3_OCEAN,CO3_DATA_TYPE,AEQ_CATCH_AGE4_OCEAN,CO4_DATA_TYPE,AEQ_CATCH_AGE5_OCEAN,CO5_DATA_TYPE,CATCH_AGE2_TERMINAL_FISHERIES,CTF2_DATA_TYPE,CATCH_AGE3_TERMINAL_FISHERIES,CTF3_DATA_TYPE,CATCH_AGE4_TERMINAL_FISHERIES,CTF4_DATA_TYPE,CATCH_AGE5_TERMINAL_FISHERIES,CTF5_DATA_TYPE,PPM_POSTFISHERY_PRESPAWN_MORT,PPM_AGE2,PPM_AGE3,PPM_AGE4,PPM_AGE5,RETURN_POTENTIAL,RETURN_POTENTIAL_AGE2,RETURN_POTENTIAL_AGE3,RETURN_POTENTIAL_AGE4,RETURN_POTENTIAL_AGE5,SAIP_STOCK_ID,SAIP_ABUNDANCE,SAIP_CATCH,SAIP_ANTHROPOGENIC,SAIP_LIFE_HISTORY,SAIP_ASSESSMENT_MODEL,SAIP_FREQUENCY,QAQC_FLAG
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1977,,6484,,0.5,,,-99,0,0.003,0.409,0.475,0.113,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1978,,3637,,0.5,,,-99,0,0.041,0.06,0.777,0.121,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1979,,2704,,0.5,,,-99,0,0.036,0.679,0.104,0.18,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1980,,5675,,0.5,,,-99,0,0.014,0.33,0.643,0.013,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1981,,1840,,0.5,,,-99,0,0.045,0.227,0.577,0.151,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1982,,4570,,0.5,,,-99,0,0.021,0.574,0.302,0.103,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1983,,2681,,0.5,,,-99,0,0.013,0.241,0.697,0.049,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1984,,2955,,0.5,,,-99,0,0.004,0.273,0.52,0.202,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1985,,1055,,0.5,,,-99,0,0.084,0.101,0.649,0.166,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1986,,2227,,0.5,,,-99,0,0.051,0.77,0.096,0.083,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
