"id","type","desc","start","stop","ref","url"
31,"spawn","Wild vs. hatchery estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.",2010,2015,"",""
31,"hatch","Data are total Natural escapement estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.",2010,2015,"",""
31,"spawn","Data are total escapement estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.",1965,2009,"",""
31,"hatch","Not defined",2013,2014,"",""
31,"spawn","Natural spawner estimate.",2013,2014,"",""
6,"hatch","Wild vs. hatchery estimates  expanded from redd counts from the mouth of Mulholland Creek (RM 18.4) downstream to the Jeep Club Bridge (Libby Road Bridge) (RM 13.1).",2010,2015,"",""
6,"spawn","Data are total Natural escapement estimates expanded from redd counts from the mouth of Mulholland Creek (RM 18.4) downstream to the Jeep Club Bridge (Libby Road Bridge) (RM 13.1).",2010,2015,"",""
6,"spawn","Data are total escapement estimates based on expansion of peak live plus dead spawner counts in the  Coweeman index area.",1964,1970,"",""
6,"spawn","Data are total escapement estimates expanded from redd counts from the mouth of Mulholland Creek (RM 18.4) downstream to the Jeep Club Bridge (Libby Road Bridge) (RM 13.1).",1971,2009,"",""
7,"hatch","Wild vs. hatchery estimates  for the Elochoman River expanded from annual peak live plus dead spawner counts from the Elochoman Hatchery (RM 9.5) downstream to the Foster Road bridge (RM 2.2).",2010,2015,"",""
7,"spawn","Data are total Natural escapement estimates for the Elochoman River expanded from annual peak live plus dead spawner counts from the Elochoman Hatchery (RM 9.5) downstream to the Foster Road bridge (RM 2.2).",2010,2015,"",""
7,"spawn","Data are total escapement estimates for Skamokawa Creek expanded from annual peak live plus dead spawner counts from the confluence of Standard and McDonald creeks (RM 6.8) downstream to Wilson Creek (RM 1.9).",1964,2009,"",""
100,"spawn","Spawning escapement based on index redd counts expanded using the 94-03 mean expansion factor.  Used 2.2 adults per redd adjusted up for jacks in the run to expand redds to spawners (modified Meekin 1967)",1977,1980,"",""
100,"spawn","Spawning escapement based on index redd counts expanded using the 94-03 mean expansion factor.  Used mean 1977 - 1986 fish per redd value to expand redds to spawners because jacks were not counted separately at dams.",1960,1976,"",""
100,"spawn","Spawning escapement based on index redd counts expanded using the 94-03 mean expansion factor.  Used Wenatchee fish per redd data to expand redds to spawners.",1981,1993,"",""
